Date,Oil Investments,Gold Investments,Comp Stock,Other sharesInvestments
31-12-2009,0.025417143,0.000149568,0.017353651,0.006847555
04-01-2010,0.026829576,0.001096836,0.015564927,-0.004609054
05-01-2010,0.002698724,0.00156041,0.001728854,0.005899985
06-01-2010,0.021688228,0.006009348,-0.015906307,-0.018115688
07-01-2010,-0.006256015,0.000221239,-0.001848595,-0.017013233
08-01-2010,0.001269492,-0.01309666,0.006648338,0.027076954
11-01-2010,-0.002417211,0.023297093,-0.008821591,-0.024041386
12-01-2010,-0.021201842,-0.00151778,-0.011375008,-0.022715064
13-01-2010,-0.01398688,-0.020846906,0.014105512,0.013820204
14-01-2010,-0.003891539,0.009758261,-0.005791607,-0.01363181
15-01-2010,-0.017517328,-0.009005052,-0.016712028,-0.001648991
19-01-2010,0.013083633,0.004432624,0.044238315,0.003696728
20-01-2010,-0.013975184,-0.01125331,-0.015392448,-0.014340585
21-01-2010,-0.020408163,-0.010711895,-0.017286195,0.006678359
22-01-2010,-0.02096519,-0.021881345,-0.04959867,-0.040988808
25-01-2010,0.008754209,0.010378229,0.026902655,-0.009223437
26-01-2010,-0.003070761,-0.001826067,0.014133058,-0.006898803
27-01-2010,-0.013794027,0.001372056,0.009420258,0.027368572
28-01-2010,-0.000271592,-0.006165791,-0.041321987,0.02672097
29-01-2010,-0.010459114,-0.008731618,-0.036278751,-0.004919424
01-02-2010,0.021413864,0.00741771,0.013901885,-0.052148958
02-02-2010,0.037629351,0.022549471,0.005802922,-0.006309414
03-02-2010,-0.003237923,0.003825383,0.017206147,0.008296605
04-02-2010,-0.049766112,-0.028693118,-0.036038705,-0.026532293
05-02-2010,-0.027075072,-0.023309485,0.017755761,0.012506443
08-02-2010,0.010119466,0.005671078,-0.006855638,-0.004770398
09-02-2010,0.025601781,0.00681391,0.010663533,0.010271309
10-02-2010,0.010446344,-0.001633606,-0.005453856,-0.005676506
11-02-2010,0.010069817,0.00631136,0.018193865,0.023261716
12-02-2010,-0.014887678,0.005342625,0.008607213,-0.003580581
16-02-2010,0.038726218,0.030730129,0.01507138,-0.017800476
17-02-2010,0.003767212,0.003362475,-0.004178904,-0.010380337
18-02-2010,0.022000777,-0.000893655,0.001876055,0.015217987
19-02-2010,0.010130429,-0.004695886,-0.006209072,-0.00474259
22-02-2010,0.003384731,0.002246686,-0.00619823,0.004169546
23-02-2010,-0.017866067,-0.007397445,-0.016764794,-0.006524905
24-02-2010,0.014501972,-0.00361337,0.018268558,0.021153216
25-02-2010,-0.022068966,-0.007706256,0.006677978,-0.012696325
26-02-2010,0.022182331,0.012562814,0.012970272,0.00169209
01-03-2010,-0.012669343,0.00518836,0.021356706,0.051858099
02-03-2010,0.011561428,0.011220826,-0.000669922,0.007949237
03-03-2010,0.016201959,0.008877053,0.002298286,0.00286784
04-03-2010,-0.008651588,-0.001759789,0.0065925,0.020970689
05-03-2010,0.016082783,0.000440723,0.039105884,0.002956547
08-03-2010,0.004294479,-0.00814978,0.000593697,0.009308797
09-03-2010,-0.004276115,-0.008882967,0.017984358,-0.009914641
10-03-2010,0.006993865,0.004257226,0.00816064,0.013118987
11-03-2010,0.000365542,-0.014725569,0.002935492,0.023523156
12-03-2010,-0.010231425,0.002038044,0.004878022,-0.013175588
15-03-2010,-0.018090081,-0.00180791,-0.012180093,-0.005234426
16-03-2010,0.024564482,0.018564637,0.002725165,0.005033082
17-03-2010,0.014434251,-0.002667259,-0.001470234,-0.003414501
18-03-2010,-0.009284939,0.000891464,0.002364796,0.010811627
19-03-2010,-0.019230769,-0.015364062,-0.010683281,-0.018152976
22-03-2010,0.008438819,-0.007462687,0.011248598,0.00092056
23-03-2010,0.005168595,0.00387332,0.016062251,-0.009274209
24-03-2010,-0.01701763,-0.009759419,0.004422881,-0.009438357
25-03-2010,-0.000498194,0.002062801,-0.011858587,0.052249323
26-03-2010,-0.00623053,0.003202196,0.018751383,0.002449358
29-03-2010,0.027210031,0.01003192,0.006452975,0.000444225
30-03-2010,0.002685547,-0.000451467,0.014888774,0.010805262
31-03-2010,0.015948381,0.00767841,-0.003603909,-0.005930575
01-04-2010,0.012941881,0.007171672,0.004127587,-0.029167017
05-04-2010,0.021649119,-1,0.010679354,-0.002427684
06-04-2010,0.002084298,0,0.00440273,0.03095287
07-04-2010,-0.010399815,0.008165968,0.004425131,-0.005090019
08-04-2010,-0.00548809,0.005253941,-0.002701575,0.045154684
09-04-2010,-0.006692497,0.003919861,0.007668231,-0.006384854
12-04-2010,-0.006264775,0.005422994,0.002067952,0.008139362
13-04-2010,-0.003211609,-0.009061489,0.00057782,-0.00736539
14-04-2010,0.021718377,0.004789898,0.013447172,0.029394941
15-04-2010,-0.00432142,0.000650054,0.01314666,0.010673746
16-04-2010,-0.026744868,-0.002598528,-0.006106412,-0.025030921
19-04-2010,-0.017476196,-0.013243595,-0.001333848,0.001828761
20-04-2010,0.017909715,0.007480748,-0.010037649,0.012427186
21-04-2010,-0.002410219,-0.001528718,0.059814383,0.015464605
22-04-2010,0.001328823,-0.008092738,0.027968486,0.0249949
23-04-2010,0.017493063,0.005071665,0.016362064,-0.043040783
26-04-2010,-0.001659948,0.013163668,-0.004910804,0.024228893
27-04-2010,-0.021021378,-0.004330879,-0.027680935,-0.034599939
28-04-2010,0.009583889,0.01000435,-0.001679076,-0.018800154
29-04-2010,0.023431867,0.004952627,0.026911334,0.017079224
30-04-2010,0.010567101,0.010713521,-0.028104515,-0.032667679
03-05-2010,0.001394214,-1,0.02014624,0.002844632
04-05-2010,-0.040143868,0,-0.028796689,-0.055713163
05-05-2010,-0.032998912,-0.016877637,-0.010398929,0.008472549
06-05-2010,-0.03525,0.017381974,-0.0380484,-0.016955519
07-05-2010,-0.026949987,0.014342966,-0.042192846,-0.028979907
10-05-2010,0.023834887,-0.004782699,0.076867633,0.050487997
11-05-2010,-0.006762908,0.021730046,0.009961006,-0.006321777
12-05-2010,-0.009427786,0.012269939,0.021713726,0.026138187
13-05-2010,-0.016787839,0,-0.014231722,-0.017927796
14-05-2010,-0.037241194,-0.000808081,-0.017572476,-0.022362531
17-05-2010,-0.021365731,-0.000404367,0.001575952,0.002956547
18-05-2010,-0.009988585,-0.015574434,-0.007316435,-0.020401869
19-05-2010,0.007639089,-0.017875488,-0.015929687,-0.013382982
20-05-2010,-0.023315692,-0.00251046,-0.042602868,-0.03916845
21-05-2010,-0.003661394,-0.010276846,0.019178987,0.025144115
24-05-2010,0.00293988,0.00614537,0.018322859,-0.004889162
25-05-2010,-0.050564268,0.009477675,-0.006240825,0.02243693
26-05-2010,0.104044458,0.011475068,-0.004526592,-0.013214817
27-05-2010,0.042505593,-0.000825083,0.037851789,0.028325607
28-05-2010,-0.00751073,-0.002890173,0.013933358,-0.009786883
